WKT,﻿Branch Name,Latitude,Longitude,Region,Open,Contact
"POINT (29.0905478 -2.3600368)",Rwesero Branch,-2.3600368,29.0905478,Kivu Belt,Mon - Sat (6 am - 6 pm),+250798583111
"POINT (28.9143878 -2.4857834)",Kamembe Branch,-2.4857834,28.9143878,Kivu Belt,Mon - Sat (6 am - 6 pm),+250792399967
"POINT (28.8950208 -2.4908901)",Rusizi 1 Branch,-2.4908901,28.8950208,Kivu Belt,Mon - Sat (6 am - 6 pm),+250791224025
"POINT (29.1374097 -2.3319079)",Tyazo Branch,-2.3319079,29.1374097,Kivu Belt,Mon - Sat (6 am - 6 pm),+250798694164
"POINT (30.1266079 -1.9492928)",Kimironko Branch,-1.9492928,30.1266079,Kigali,Mon - Sat (6 am - 6 pm),+250798694163
"POINT (30.0449631 -1.9426476)",Nyabugogo Branch,-1.9426476,30.0449631,Kigali,Mon - Sat (6 am - 6 pm),+250798694156
"POINT (30.0589475 -1.9666507)",Nyamirambo Branch,-1.9666507,30.0589475,Kigali,Mon - Sat (6 am - 6 pm),+250798694159
"POINT (30.0693793 -1.9479832)",Kiyovu Branch,-1.9479832,30.0693793,Kigali,Mon - Sat (6 am - 6 pm),+250798694162
"POINT (30.0991687 -1.9716968)",Ziniya Branch,-1.9716968,30.0991687,Kigali,Mon - Sat (6 am - 6 pm),+250798694154
"POINT (30.12115 -1.962731)",Remera-Giporoso Branch,-1.9627310,30.121150,Kigali,Mon - Sat (6 am - 6 pm),+250798694155
"POINT (30.079187 -1.906512)",Batsinda Branch,-1.906512,30.079187,Kigali,Mon - Sat (6 am - 6 pm),+250798694161
"POINT (30.07682 -1.973079)",Gikondo Branch,-1.973079,30.07682,Kigali,Mon - Sat (6 am - 6 pm),+250798694157
"POINT (30.170512 -1.97661)",Kanombe Branch,-1.976610,30.170512,Kigali,Mon - Sat (6 am - 6 pm),+250795460029
"POINT (30.224222 -1.985355)",Kabuga Branch,-1.985355,30.224222,Kigali,Mon - Sat (6 am - 6 pm),+250798694184
"POINT (30.099724 -1.978204)",Gatenga Branch,-1.978204,30.099724,Kigali,Mon - Sat (6 am - 6 pm),+250798583136
"POINT (30.056651 -1.91746)",Gisozi Branch,-1.917460,30.056651,Kigali,Mon - Sat (6 am - 6 pm),+250792399969
